Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Speed_IAS_in_knots
ATLANTA INTL,C-130H,None,7/17/02 0:00,MILITARY,Georgia,Climb,Small,Unknown bird - small,Day,0,0,0,150.0
LIHUE ARPT,DC-9-50,None,4/3/96 0:00,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Dawn,0,0,0,140.0
LAMBERT-ST LOUIS INTL,B-737-300,None,8/20/97 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727,None,5/2/96 0:00,ASTAR AIR CARGO,Kentucky,Landing Roll,Small,Unknown bird - small,Night,0,0,0,
LIHUE ARPT,B-737-200,None,3/8/98 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Barn owl,Night,0,0,0,137.0
CLEVELAND-HOPKINS INTL ARPT,BE-1900,None,4/28/01 0:00,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,Small,European starling,Day,0,0,0,120.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/7/93 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Mourning dove,Day,0,0,0,130.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,7/21/93 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150.0
JOHN F KENNEDY INTL,B-767-200,Substantial,6/22/93 0:00,UNITED AIRLINES,New York,Climb,Small,Laughing gull,Day,0,0,0,
PORT COLUMBUS INTL,EMB-145,None,7/23/02 0:00,AMERICAN EAGLE AIRLINES,Ohio,Approach,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,A-319,None,3/25/01 0:00,AIR CANADA,DC,Approach,Small,Unknown bird - small,Night,0,0,0,150.0
RONALD REAGAN WASHINGTON NATL,B-727,None,3/4/94 0:00,NORTHWEST AIRLINES,DC,Approach,Medium,Red-tailed hawk,Day,0,0,0,125.0
LOS ANGELES INTL,MD-80,None,9/4/99 0:00,AMERICAN AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130.0
RONALD REAGAN WASHINGTON NATL,B-737,None,5/27/92 0:00,CONTINENTAL AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
PORTLAND INTL (OR),DHC8 DASH 8,None,10/11/99 0:00,HORIZON AIR,Oregon,Climb,Small,European starling,Dusk,0,0,0,140.0
DENVER INTL AIRPORT,A-320,None,10/15/98 0:00,UNITED AIRLINES,Colorado,Approach,Small,Unknown bird - small,Day,0,0,0,
PHOENIX SKY HARBOR,B-737-200,None,9/4/00 0:00,AMERICA WEST AIRLINES,Arizona,Take-off run,Small,Unknown bird - small,Night,0,0,0,
ATLANTA INTL,B-727-200,None,8/16/00 0:00,DELTA AIR LINES,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
PORT COLUMBUS INTL,FOKKER F100,None,8/13/00 0:00,US AIRWAYS*,Ohio,Take-off run,Small,Unknown bird - small,Day,0,0,0,
AUSTIN-BERGSTROM INTL,B-737-300,None,10/20/99 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,7/19/00 0:00,COMAIR AIRLINES,Kentucky,Climb,Medium,American crow,Day,0,0,0,150.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,A-310,None,10/14/94 0:00,DELTA AIR LINES,Kentucky,Approach,Small,European starling,Day,0,0,0,130.0
DALLAS/FORT WORTH INTL ARPT,MD-82,None,6/15/92 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,127.0
LAMBERT-ST LOUIS INTL,ATR-42,Minor,1/2/94 0:00,TRANS STATES AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Day,0,0,0,170.0
PORT COLUMBUS INTL,BE-200 KING,None,3/14/95 0:00,MESA AIRLINES,Ohio,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
LOUISVILLE INTL ARPT,B-737,None,7/7/90 0:00,UNITED AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,7/20/93 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130.0
LAMBERT-ST LOUIS INTL,DC-9-40,None,9/8/00 0:00,ABX AIR,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,
ATLANTA INTL,DC-9,None,4/21/99 0:00,AIRTRAN AIRWAYS,Georgia,Climb,Medium,Unknown bird - medium,Night,1372,0,1372,210.0
MINETA SAN JOSE INTL,MD-80,Medium,9/19/99 0:00,AMERICAN AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-80,None,4/13/93 0:00,AMERICAN AIRLINES,Illinois,Climb,Large,Unknown bird - large,Night,0,0,0,250.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,9/10/01 0:00,COMAIR AIRLINES,Kentucky,Take-off run,Small,Killdeer,Day,0,0,0,105.0
NEW ORLEANS INTL,CITATION II,Minor,4/18/98 0:00,EXECUTIVE JET AVIATION,Louisiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-757-200,Substantial,2/22/99 0:00,DELTA AIR LINES,Kentucky,Climb,Small,European starling,Day,0,686031,686031,150.0
SACRAMENTO INTL,A-320,None,8/5/99 0:00,NORTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/6/91 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180.0
NASHVILLE INTL,B-737-500,None,4/8/99 0:00,DELTA AIR LINES,Tennessee,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/23/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,185.0
PORTLAND INTL (OR),B-757-200,None,7/2/02 0:00,UNITED AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,BA-31 JETSTR,Substantial,7/5/93 0:00,AMERICAN EAGLE AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,105.0
LIHUE ARPT,B-737-200,None,12/21/96 0:00,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
NASHVILLE INTL,B-757-200,None,9/30/91 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
GEORGE BUSH INTERCONTINENTAL,FOKKER F100,None,10/3/94 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,250.0
DENVER INTL AIRPORT,A-319,None,5/23/01 0:00,AMERICA WEST AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,115.0
DENVER INTL AIRPORT,B-737-300,None,5/20/02 0:00,AMERICA WEST AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
