Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Speed_IAS_in_knots
RONALD REAGAN WASHINGTON NATL,FOKKER F100,None,6/9/95 0:00,US AIRWAYS*,DC,Climb,Small,Unknown bird - small,Day,0,0,0,170.0
MINETA SAN JOSE INTL,MD-83,None,12/16/95 0:00,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,220.0
MINETA SAN JOSE INTL,B-757-200,None,7/12/01 0:00,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
SALT LAKE CITY INTL,C-172,Substantial,11/23/96 0:00,PRIVATELY OWNED,Utah,Approach,Large,Unknown bird - large,Dawn,0,0,0,
PHILADELPHIA INTL,FOKKER F28 MK 4000,None,7/7/95 0:00,US AIRWAYS*,Pennsylvania,Approach,Large,Unknown bird - large,Night,0,0,0,
KANSAS CITY INTL,B-737,None,10/27/00 0:00,DELTA AIR LINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
SACRAMENTO INTL,A-319,None,4/8/01 0:00,NORTHWEST AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,136.0
SACRAMENTO INTL,C-141B,None,2/8/95 0:00,MILITARY,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
NEW ORLEANS INTL,B-737-200,None,4/8/93 0:00,US AIRWAYS*,Louisiana,Take-off run,Small,Unknown bird - small,Day,0,0,0,160.0
DENVER INTL AIRPORT,B-757-200,Substantial,6/15/00 0:00,UNITED AIRLINES,Colorado,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,BA-41 JETSTR,None,4/29/97 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Large,Canada goose,Day,0,0,0,123.0
SAN FRANCISCO INTL ARPT,B-737-300,None,6/2/02 0:00,UNITED AIRLINES,California,Take-off run,Small,European starling,Day,0,0,0,
LOS ANGELES INTL,B-767-300,None,9/2/96 0:00,DELTA AIR LINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
DALLAS/FORT WORTH INTL ARPT,MD-82,None,9/12/91 0:00,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,135.0
METRO OAKLAND INTL,B-737-500,None,10/15/00 0:00,SOUTHWEST AIRLINES,California,Climb,Small,Mourning dove,Day,0,0,0,160.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,9/22/90 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
HONOLULU INTL ARPT,B-737-200,None,10/2/97 0:00,ALOHA AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
HOUSTON-HOBBY,B-737-200,None,9/17/00 0:00,SOUTHWEST AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,250.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,SAAB-340,None,9/27/94 0:00,COMAIR AIRLINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
JOHN F KENNEDY INTL,BA-31 JETSTR,None,7/30/96 0:00,ATLANTIC COAST AIRLINES,New York,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LOUISVILLE INTL ARPT,DC-9,None,7/28/96 0:00,NORTHWEST AIRLINES,Kentucky,Landing Roll,Small,Mourning dove,Day,0,0,0,
PORTLAND INTL (OR),B-737-300,None,3/19/99 0:00,AMERICA WEST AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
CHARLOTTE/DOUGLAS INTL ARPT,C-208,None,10/15/97 0:00,BUSINESS,North Carolina,Approach,Medium,Unknown bird - medium,Night,362,0,362,150.0
NASHVILLE INTL,MD-82,None,9/15/93 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
CHARLESTON AFB/INTL ARPT,B-737-400,None,10/12/95 0:00,US AIRWAYS*,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,95.0
PORTLAND INTL (OR),C-560,None,9/10/90 0:00,BUSINESS,Oregon,Approach,Small,Rock pigeon,Day,0,0,0,115.0
HOUSTON-HOBBY,B-737-500,None,2/5/97 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
ATLANTA INTL,B-757-200,None,11/10/97 0:00,AMERICA WEST AIRLINES,Georgia,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
SALT LAKE CITY INTL,B-737-500,Minor,6/6/01 0:00,UNITED AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727,None,4/21/92 0:00,AMERICAN AIRLINES,Texas,Approach,Large,Unknown bird - large,Day,0,0,0,140.0
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,9/1/01 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,200.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/12/92 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
LOS ANGELES INTL,EMB-120,None,8/29/96 0:00,SKYWEST AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,100.0
HONOLULU INTL ARPT,DC-10,None,9/20/01 0:00,BUSINESS,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
DETROIT METRO WAYNE COUNTY ARPT,DC-9,None,10/27/96 0:00,NORTHWEST AIRLINES,Michigan,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,
ATLANTA INTL,B-767-300,None,9/21/98 0:00,DELTA AIR LINES,Georgia,Descent,Large,Unknown bird - large,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,MD-82,None,9/18/97 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,150.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,3/25/00 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
MEMPHIS INTL,A-300,Substantial,5/3/00 0:00,FEDEX EXPRESS,Tennessee,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,133.0
LOS ANGELES INTL,B-757-200,None,5/8/98 0:00,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,240.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-120,None,8/29/93 0:00,COMAIR AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Day,0,0,0,200.0
NEWARK LIBERTY INTL ARPT,A-300,None,7/31/93 0:00,AMERICAN AIRLINES,New Jersey,Climb,Small,Unknown bird - small,Day,0,0,0,220.0
GREATER PITTSBURGH,DORNIER 328,None,9/25/01 0:00,PSA AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,A-320,None,8/16/00 0:00,UNITED AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,190.0
LOS ANGELES INTL,B-767-300,None,12/26/99 0:00,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,140.0
PORTLAND INTL (OR),MD-80,None,8/29/90 0:00,AMERICAN AIRLINES,Oregon,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
WILL ROGERS WORLD ARPT,B-727,None,8/28/90 0:00,FEDEX EXPRESS,Oklahoma,Descent,Large,Unknown bird - large,Night,0,0,0,250.0
CHARLESTON AFB/INTL ARPT,C-17A,None,12/4/98 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,130.0
LOUISVILLE INTL ARPT,B-727-100,None,6/3/91 0:00,AMERICAN AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
WASHINGTON DULLES INTL ARPT,MD-80,None,5/8/97 0:00,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,155.0
NEWARK LIBERTY INTL ARPT,FOKKER F100,None,5/1/97 0:00,AMERICAN AIRLINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
METRO OAKLAND INTL,B-737,Minor,2/5/95 0:00,SOUTHWEST AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,120.0
JOHN F KENNEDY INTL,DC-8-70,None,5/14/92 0:00,UPS AIRLINES,New York,Climb,Small,Unknown bird - small,Night,0,0,0,180.0
PORTLAND INTL (OR),DHC8 DASH 8,None,5/9/95 0:00,HORIZON AIR,Oregon,Climb,Small,European starling,Dusk,0,0,0,
ORLANDO INTL,B-737-500,None,3/11/02 0:00,SOUTHWEST AIRLINES,Florida,Approach,Large,Unknown bird - large,Night,0,0,0,200.0
BARKSDALE AIR FORCE BASE ARPT,C-130E,None,5/20/99 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,MD-82,None,8/14/97 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Ring-billed gull,Night,0,0,0,148.0
DENVER INTL AIRPORT,A-300,None,8/5/00 0:00,FEDEX EXPRESS,Colorado,Climb,Small,Unknown bird - small,Night,0,0,0,320.0
PORTLAND INTL (OR),L-1011,None,9/13/99 0:00,DELTA AIR LINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,
LOS ANGELES INTL,B-737-300,Substantial,11/9/98 0:00,UNITED AIRLINES,California,Climb,Small,Rock pigeon,Day,0,89453,89453,130.0
SAN FRANCISCO INTL ARPT,B-767,None,12/8/97 0:00,AMERICAN AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130.0
RONALD REAGAN WASHINGTON NATL,B-727,None,9/23/98 0:00,AMERICAN AIRLINES,DC,Climb,Medium,Unknown bird - medium,Day,0,0,0,150.0
MINETA SAN JOSE INTL,BE-95,None,1/26/98 0:00,UNKNOWN,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
MINETA SAN JOSE INTL,MD-80,None,5/28/94 0:00,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,165.0
DALLAS/FORT WORTH INTL ARPT,MD-82,None,5/29/91 0:00,AMERICAN AIRLINES,Texas,Take-off run,Small,American robin,Day,0,0,0,150.0
EPPLEY AIRFIELD,B-737-700,None,5/20/02 0:00,SOUTHWEST AIRLINES,Nebraska,Climb,Small,Unknown bird - small,Night,0,0,0,200.0
MEMPHIS INTL,DC-10-30,None,9/16/01 0:00,FEDEX EXPRESS,Tennessee,Approach,Large,Unknown bird - large,Day,0,0,0,140.0
NEWARK LIBERTY INTL ARPT,B-737-300,None,10/2/95 0:00,CONTINENTAL AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Day,0,0,0,
LOGAN INTL,B-727-200,None,9/14/98 0:00,DELTA AIR LINES,Massachusetts,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0
CHARLESTON AFB/INTL ARPT,C-141B,None,10/7/91 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,130.0
LAGUARDIA NY,BA-31 JETSTR,Minor,10/21/95 0:00,ATLANTIC COAST AIRLINES,New York,Climb,Medium,Unknown bird - medium,Night,0,0,0,160.0
KANSAS CITY INTL,MD-80,None,7/24/91 0:00,AMERICAN AIRLINES,Missouri,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,100.0
KANSAS CITY INTL,BE-1900,None,10/5/98 0:00,MESA AIRLINES,Missouri,Landing Roll,Small,European starling,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,C-141B,None,8/18/93 0:00,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,0,0,130.0
JOHN F KENNEDY INTL,B-767-200,None,5/7/02 0:00,AMERICAN AIRLINES,New York,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
ATLANTA INTL,MD-88,None,5/12/92 0:00,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
INDIANAPOLIS INTL,B-737,None,5/19/97 0:00,UNITED AIRLINES,Indiana,Climb,Small,Killdeer,Day,0,0,0,
HONOLULU INTL ARPT,B-737-200,None,4/2/93 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,90.0
KANSAS CITY INTL,MD-80,None,1/2/00 0:00,TRANS WORLD AIRLINES,Missouri,Approach,Large,Canada goose,Night,0,0,0,140.0
GREATER PITTSBURGH,B-737,None,10/25/92 0:00,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,115.0
LOGAN INTL,A-320,Minor,3/27/98 0:00,UNITED AIRLINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,110.0
CHICAGO MIDWAY INTL ARPT,B-737-300,Substantial,7/23/00 0:00,SOUTHWEST AIRLINES,Illinois,Take-off run,Small,Unknown bird - small,Day,0,0,0,100.0
JOHN F KENNEDY INTL,B-767-200,None,2/1/99 0:00,AMERICAN AIRLINES,New York,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
BALTIMORE WASH INTL,B-737-200,None,1/31/01 0:00,US AIRWAYS*,Maryland,Approach,Small,Unknown bird - small,Dawn,0,0,0,120.0
CHICAGO O'HARE INTL ARPT,CL-RJ100/200,None,6/27/00 0:00,ATLANTIC COAST AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,250.0
MEMPHIS INTL,DC-10,None,10/13/98 0:00,FEDEX EXPRESS,Tennessee,Descent,Small,Unknown bird - small,Night,0,0,0,
GREATER PITTSBURGH,B-737-400,None,5/3/02 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,110.0
DALLAS/FORT WORTH INTL ARPT,B-727,None,11/3/91 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,145.0
SEATTLE-TACOMA INTL,B-737-300,None,11/6/97 0:00,SOUTHWEST AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,6/22/92 0:00,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,100.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,11/7/91 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
DETROIT METRO WAYNE COUNTY ARPT,SAAB-340,None,1/8/00 0:00,MESABA AIRLINES,Michigan,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
DETROIT METRO WAYNE COUNTY ARPT,B-757-200,None,7/20/93 0:00,NORTHWEST AIRLINES,Michigan,Climb,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,9/4/96 0:00,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,100.0
NASHVILLE INTL,MD-80,Medium,9/7/93 0:00,AMERICAN AIRLINES,Tennessee,Approach,Large,Unknown bird - large,Day,0,0,0,210.0
PHILADELPHIA INTL,B-737-400,Minor,11/12/00 0:00,US AIRWAYS*,Pennsylvania,Approach,Large,Canada goose,Night,0,0,0,230.0
WASHINGTON DULLES INTL ARPT,BA-41 JETSTR,None,8/26/97 0:00,ATLANTIC COAST AIRLINES,DC,Landing Roll,Small,Unknown bird - small,Day,0,0,0,8.0
LIHUE ARPT,B-737-200,None,5/30/96 0:00,ALOHA AIRLINES,Hawaii,Climb,Medium,Unknown bird - medium,Day,0,0,0,120.0
SACRAMENTO INTL,B-757-200,None,6/4/00 0:00,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SALT LAKE CITY INTL,B-737,None,7/23/92 0:00,DELTA AIR LINES,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,3/29/96 0:00,ATLANTIC COAST AIRLINES,DC,Take-off run,Medium,Ring-billed gull,Day,0,0,0,90.0
ATLANTA INTL,B-727,None,9/8/00 0:00,DELTA AIR LINES,Georgia,Climb,Medium,Unknown bird - medium,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-11,None,8/31/93 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,145.0
LAGUARDIA NY,MD-82,None,10/25/93 0:00,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,215.0
PORT COLUMBUS INTL,B-737-200,None,3/23/00 0:00,DELTA AIR LINES,Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
LAMBERT-ST LOUIS INTL,MD-82,None,9/24/01 0:00,TRANS WORLD AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SAN FRANCISCO INTL ARPT,B-757-200,None,3/2/94 0:00,NORTHWEST AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,B-737-300,None,8/1/99 0:00,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,6/7/02 0:00,COMAIR AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
LOS ANGELES INTL,B-757-200,None,9/12/97 0:00,AMERICAN AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,250.0
LOS ANGELES INTL,B-727,None,10/8/92 0:00,UNITED AIRLINES,California,Landing Roll,Small,Mourning dove,Day,0,0,0,135.0
BALTIMORE WASH INTL,B-737-200,None,9/24/00 0:00,US AIRWAYS*,Maryland,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,150.0
CLEVELAND-HOPKINS INTL ARPT,BE-1900,None,7/12/99 0:00,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
CHARLESTON AFB/INTL ARPT,C-141,None,8/25/95 0:00,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,9/22/92 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,200.0
PORTLAND INTL (OR),B-737-300,None,9/25/00 0:00,AMERICA WEST AIRLINES,Oregon,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
NEWARK LIBERTY INTL ARPT,B-727,None,9/11/92 0:00,AMERICAN AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SACRAMENTO INTL,B-737-300,None,8/8/98 0:00,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,145.0
LIHUE ARPT,C-135B,None,2/17/93 0:00,MILITARY,Hawaii,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130.0
RONALD REAGAN WASHINGTON NATL,CITATION II,Medium,3/8/00 0:00,BUSINESS,DC,Climb,Medium,Unknown bird - medium,Day,124282,26727,151009,170.0
CLEVELAND-HOPKINS INTL ARPT,MD-82,None,6/15/02 0:00,AMERICAN AIRLINES,Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
LAGUARDIA NY,B-757-200,Substantial,9/11/94 0:00,NORTHWEST AIRLINES,New York,Take-off run,Small,Rock pigeon,Day,0,0,0,100.0
LOS ANGELES INTL,B-757-200,Substantial,10/15/97 0:00,UNITED AIRLINES,California,Take-off run,Small,Rock pigeon,Day,0,0,0,90.0
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,12/18/93 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,300.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,Minor,8/29/00 0:00,DELTA AIR LINES,Kentucky,Climb,Large,Unknown bird - large,Dusk,0,0,0,180.0
